,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
62,464091,Male,Yes,74.0,Yes,Lawyer,0.0,High,3.0,6.0,10.293,1.219,5.457999999999999,-1.348,D
63,464535,Male,Yes,56.0,Yes,Lawyer,1.0,High,2.0,6.0,5.1739999999999995,3.846,2.235,5.118,A
64,463108,Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,6.0,8.52,2.594,4.196000000000001,5.882999999999999,A
65,461356,Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,6.0,6.606,0.38299999999999995,4.455,3.3710000000000004,A
66,464570,Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,6.0,0.42700000000000005,2.658,5.387432820897396,3.8569999999999998,A
67,464580,Male,No,27.0,No,Artist,8.0,Low,4.0,6.0,6.8420000000000005,2.1519999999999997,4.887,1.065,A
68,465233,Male,No,57.0,Yes,Artist,0.0,Average,4.0,6.0,3.463,3.568,4.586,6.194,B
69,467208,Female,Yes,39.0,Yes,Homemaker,2.638210266264068,High,2.0,6.0,5.8660000000000005,3.1519999999999997,5.556,-1.546,A
70,459954,Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,6.0,5.901,11.136,7.8420000000000005,10.437999999999999,D
71,460219,Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,6.0,8.436,3.378,3.628,6.2170000000000005,A
72,460877,Female,Yes,47.0,No,Artist,0.0,Average,5.0,5.0,3.9930000000000003,6.6610000000000005,1.8980000000000001,1.396,B
73,460191,Female,No,33.0,No,Healthcare,8.0,Low,4.0,6.0,9.193999999999999,-3.54,8.374,10.460999999999999,D
74,463742,Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,6.0,12.044,7.431,4.2589999999999995,14.78,C
75,463691,Female,No,33.0,No,Homemaker,0.0,Low,3.0,6.0,2.401,1.5819999999999999,8.056000000000001,0.9059999999999999,B
76,463250,Female,No,36.0,Yes,Doctor,0.0,Low,2.0,6.0,11.030999999999999,5.364,4.532,0.6759999999999999,D
77,463952,Male,Yes,51.0,No,Artist,4.0,Low,3.0,4.0,6.2989999999999995,3.136,-0.625,6.149,A
78,461558,Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,6.0,15.593,5.247000000000001,0.9590000000000001,5.5120000000000005,C
79,466567,Female,No,49.0,Yes,Artist,1.0,Low,1.0,6.0,8.421,2.2880000000000003,5.598,2.1109999999999998,D
80,465379,Male,No,30.0,No,Healthcare,0.0,Low,4.0,6.0,14.831,4.641,2.693,4.843,C
81,463814,Female,No,26.0,No,Healthcare,6.0,Low,3.0,5.0,3.202,9.049,1.999,2.3569999999999998,D
82,466938,Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,6.0,7.34,4.1930000000000005,2.127,5.0,A
83,460671,Male,Yes,35.0,No,Entertainment,8.0,Average,4.0,3.0,5.813,6.357,1.314,1.742,B
84,462204,Female,No,19.0,No,Marketing,1.0,Low,3.0,4.0,5.836,4.156000000000001,2.935,5.75,A
85,461671,Male,No,32.0,No,Healthcare,7.0,Low,5.0,6.0,9.081,-1.432,11.559000000000001,5.0,D
86,459384,Male,Yes,52.0,Yes,Artist,0.0,Average,3.0,6.0,15.607999999999999,9.919,3.4760000000000004,9.927999999999999,C
87,459905,Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,6.0,9.363999999999999,13.42,-2.7880000000000003,20.348,C
88,464734,Female,No,42.0,No,Entertainment,7.0,Low,3.0,4.0,11.052,2.333,5.351,5.0,D
89,464125,Male,Yes,40.0,No,Doctor,0.0,Average,2.0,3.0,15.306,11.124,0.78,-2.6630000000000003,D
90,467434,Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,1.0,7.079,2.9339999999999997,4.271,3.9130000000000003,B
91,460956,Female,Yes,47.0,Yes,Artist,1.0,Average,4.0,3.0,15.085,8.065,12.366,-5.22,C
92,465179,Female,Yes,61.0,Yes,Artist,1.0,High,2.0,6.0,8.706,7.391,-2.474,8.347000000000001,C
93,463338,Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,3.0,4.7989999999999995,1.995,11.341,10.864,D
94,467066,Male,Yes,55.0,No,Artist,0.0,Low,1.0,6.0,1.944,-1.4780000000000002,3.642,5.882000000000001,B
95,463845,Male,Yes,58.0,Yes,Artist,2.638210266264068,Average,1.0,6.0,-1.368,7.797999999999999,6.813,-1.452,D
96,459976,Female,No,38.0,Yes,Artist,0.0,Low,1.0,6.0,5.778,-4.0280000000000005,10.789000000000001,-0.541,D
97,461334,Male,Yes,63.0,Yes,Artist,0.0,High,2.0,6.0,18.365,3.947,14.359000000000002,14.264000000000001,C
98,465108,Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,6.0,8.607000000000001,1.165,14.489,10.574000000000002,C
99,462600,Male,Yes,30.0,No,Engineer,3.0,Average,3.0,4.0,13.007,4.498,12.08,13.575999999999999,D
100,464144,Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,6.0,17.51,7.218,5.478,8.984,C
101,466911,Male,Yes,68.0,No,Executive,1.0,High,7.0,6.0,0.5660000000000001,4.731,0.905,1.376,B
102,462806,Male,Yes,52.0,No,Artist,0.0,Low,3.0,4.0,3.2939999999999996,-1.018,3.395,7.375,A
103,463426,Male,Yes,38.0,No,Executive,0.0,High,5.0,6.0,5.876,6.377000000000001,3.88,4.543,A
104,464065,Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,6.0,-3.659,2.144,8.687000000000001,-0.055999999999999994,B
105,462979,Male,No,18.0,No,Doctor,1.0,Low,2.0,6.0,4.662,7.89,15.812999999999999,3.091,D
106,462834,Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,1.0,12.124,1.742,-0.605,0.703,D
107,460764,Male,No,86.0,No,Lawyer,1.0,Low,1.0,6.0,12.738,9.344,0.584,8.432,D
108,466466,Female,No,19.0,No,Healthcare,6.0,Low,5.0,3.0,3.741,4.842,13.835999999999999,2.6460000000000004,D
109,460185,Male,No,25.0,No,Healthcare,9.0,Low,3.0,6.0,9.912,12.0,11.918,2.7560000000000002,D
110,459749,Male,Yes,59.0,Yes,Entertainment,2.638210266264068,Low,4.0,4.0,8.379,1.996,2.4930000000000003,3.5460000000000003,A
111,464406,Female,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,4.457,3.4160000000000004,4.502,-1.01,A
112,467758,Female,Yes,50.0,Yes,Doctor,1.0,Low,3.0,6.0,-1.251,5.7620000000000005,1.526,5.5089999999999995,B
113,462059,Male,No,47.0,Yes,Artist,1.0,Low,1.0,6.0,19.525,4.845,11.679,3.213,C
114,467905,Male,Yes,43.0,Yes,Executive,0.0,High,3.0,6.0,2.767,2.97,8.965,-4.355,D
115,461177,Male,Yes,36.0,No,Executive,8.0,Average,4.0,1.0,1.3980000000000001,2.812,4.519,2.717,B
116,460765,Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,6.0,10.911,2.19,5.596,8.96,D
117,465386,Male,No,36.0,Yes,Artist,0.0,Low,2.0,2.0,9.441,9.802,8.002,17.387,C
118,465827,Male,No,27.0,No,Artist,2.0,Low,7.0,4.0,6.237,8.745,5.64,-1.129,D
119,462332,Female,Yes,37.0,Yes,Artist,1.0,High,2.0,7.0,4.105,3.9010000000000002,0.188,5.351,A
120,464481,Male,Yes,46.0,Yes,Executive,0.0,High,3.0,6.0,12.757,12.091,4.923,11.277000000000001,C
121,461011,Male,Yes,55.0,No,Executive,1.0,High,4.0,3.0,7.517,4.71,3.0060000000000002,1.33,B
122,464749,Female,Yes,47.0,No,Engineer,9.0,Average,4.0,4.0,6.869,4.895,1.161,3.571,B
123,461094,Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,3.0,7.571000000000001,4.965,5.898,9.847000000000001,D
124,462104,Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,3.0,3.0239999999999996,4.7010000000000005,8.808,3.8939999999999997,D
125,464524,Female,Yes,27.0,No,Marketing,1.0,Low,2.0,6.0,1.656,2.82,1.983,5.571000000000001,A
126,466295,Female,No,42.0,No,Engineer,0.0,Low,3.0,6.0,3.134,3.318,2.415,4.6610000000000005,A
127,461787,Male,Yes,40.0,Yes,Artist,0.0,Average,2.0,6.0,12.59,3.903,14.366,8.502,C
128,467857,Female,Yes,28.0,Yes,Engineer,0.0,Low,2.0,6.0,5.848,6.041,6.505,3.627,A
129,460153,Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,6.0,18.472,11.412,-2.041,9.061,C
130,465215,Male,Yes,39.0,Yes,Executive,9.0,High,5.0,2.0,8.925,3.6519999999999997,4.702,5.226,A
131,466746,Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,6.0,13.537,11.414000000000001,15.887,3.1260000000000003,C
132,464857,Male,No,18.0,No,Healthcare,6.0,Low,4.0,4.0,2.8560000000000003,9.07,9.802999999999999,8.054,D
133,459478,Male,Yes,46.0,Yes,Artist,2.638210266264068,Low,1.0,6.0,6.0729999999999995,4.69,4.44,8.246,A
134,460723,Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,4.0,2.676,0.983,3.2030000000000003,0.044000000000000004,B
135,459853,Male,No,30.0,No,Executive,5.0,Low,5.0,6.0,5.7379999999999995,4.695,3.88,3.207,A
136,459390,Female,No,41.0,No,Artist,2.638210266264068,Low,2.0,6.0,-0.7190000000000001,12.625,4.232,4.111000000000001,B
137,460410,Female,No,39.0,Yes,Artist,3.0,Low,4.0,6.0,9.535,10.177,11.227,4.3580000000000005,D
138,463823,Female,No,29.0,No,Marketing,8.0,Low,4.0,6.0,7.956,6.481,5.858,13.738,D
139,462008,Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,5.0,4.992,9.611,0.775,7.452999999999999,B
140,459750,Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,6.0,5.568,5.43,3.889,6.787999999999999,A
141,459880,Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,7.0,7.3420000000000005,7.8629999999999995,7.751,10.339,C
142,459261,Female,No,32.0,Yes,Doctor,0.0,Low,3.0,6.0,17.427,3.303,11.533,6.529,C
143,465656,Male,Yes,78.0,No,Lawyer,1.0,Low,3.0,6.0,4.4430000000000005,12.099,7.6770000000000005,1.589,B
144,465395,Female,Yes,43.0,No,Engineer,0.0,Average,5.0,4.0,3.764,2.079,1.7469999999999999,3.838,B
145,461631,Male,No,29.0,No,Marketing,8.0,Low,5.0,6.0,9.927,4.912,13.905,14.839,C
146,464904,Female,Yes,28.0,No,Engineer,9.0,Average,2.0,4.0,9.957,9.01,2.166,6.322,A
147,461740,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,6.0,3.528,-1.744,6.7829999999999995,3.1010000000000004,B
148,467092,Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,6.0,5.391,4.666,4.511,1.208,D
149,464173,Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,6.0,19.59,8.693,1.67,3.0669999999999997,C
150,464972,Male,Yes,67.0,No,Lawyer,0.0,High,9.0,4.0,8.691,-0.289,4.684,3.489,A
151,467959,Female,No,26.0,No,Engineer,0.0,Low,1.0,2.0,6.462000000000001,3.7689999999999997,3.432,2.415,A
152,467688,Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,6.0,12.998,5.537999999999999,12.911,8.831,C
153,460043,Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,6.0,4.671,2.647,3.5589999999999997,10.757,B
154,466590,Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,6.0,3.858,9.334,9.471,5.0,C
155,461191,Female,No,45.0,Yes,Marketing,8.0,Low,4.0,6.0,8.948,2.378,-0.363,1.4480000000000002,D
156,465662,Male,Yes,76.0,No,Executive,1.0,Low,1.0,6.0,14.022,5.593,3.7510000000000003,11.981,C
157,459231,Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,6.0,3.4419999999999997,9.297,4.7330000000000005,7.7410000000000005,C
158,466495,Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,6.0,8.573,6.0089999999999995,4.1080000000000005,0.662,B
159,459192,Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,6.0,17.427,9.231,6.131,10.604000000000001,C
160,465710,Female,No,49.0,Yes,Artist,1.0,Low,1.0,6.0,10.866,8.513,2.42,13.722999999999999,C
161,460258,Female,No,25.0,Yes,Healthcare,1.0,Low,5.0,6.0,1.213,0.134,4.127,6.675,D
162,462813,Male,Yes,37.0,No,Executive,0.0,Average,5.0,6.0,8.382,-0.32899999999999996,4.342,4.168,A
163,463595,Female,No,32.0,No,Healthcare,1.0,Low,5.0,5.0,12.862,11.8,6.921,18.996,C
164,467768,Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,6.0,20.697,10.561,9.663,22.204,C
165,465291,Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,6.0,8.649,8.581,8.871,5.0,C
166,462996,Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,6.0,13.439,11.882,14.8,7.922999999999999,C
167,463497,Male,No,32.0,Yes,Artist,0.0,Low,5.0,6.0,9.895,3.16,7.579,0.44299999999999995,D
168,465301,Female,Yes,40.0,Yes,Artist,0.0,Low,3.0,3.0,0.33399999999999996,7.419,3.9019999999999997,2.775,B
169,464702,Male,Yes,59.0,No,Artist,2.0,Average,2.0,4.0,11.205,13.512,8.397,17.914,C
170,459012,Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,6.0,2.866,6.164,2.765,-0.5479999999999999,B
171,465053,Male,Yes,82.0,Yes,Executive,0.0,High,2.0,6.0,18.233,11.543,16.482,8.327,C
172,459420,Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,6.0,-1.405,8.101,4.519,0.266,B
173,464166,Male,No,31.0,Yes,Artist,5.0,Low,2.0,6.0,4.564,6.7170000000000005,3.358,5.9079999999999995,B
174,458987,Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,6.0,7.316,10.773,2.7460000000000004,9.45,C
175,467745,Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,6.0,9.67,5.263,3.201,4.868,C
176,464866,Female,No,23.0,No,Engineer,11.0,Low,1.0,3.0,17.701,10.877,4.21,-1.125,D
177,461081,Female,No,20.0,No,Healthcare,2.0,Low,6.0,6.0,5.055,5.7379999999999995,0.037000000000000005,2.7,D
178,467896,Female,No,22.0,No,Healthcare,4.0,Low,3.0,6.0,2.793,6.184,5.936,1.3119999999999998,D
179,463991,Female,No,31.0,Yes,Engineer,8.0,Low,1.0,6.0,6.4110000000000005,1.8769999999999998,3.5610000000000004,3.159,A
180,466620,Female,Yes,36.0,Yes,Artist,7.0,Average,2.0,6.0,16.539,10.360999999999999,7.082999999999999,7.644,C
181,462594,Male,Yes,52.0,No,Entertainment,2.638210266264068,Average,5.0,4.0,-0.762,7.8260000000000005,5.68,3.032,B
182,462206,Female,No,29.0,Yes,Artist,2.638210266264068,Low,1.0,4.0,6.525,2.086,3.86,1.742,B
183,460697,Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,6.0,10.905999999999999,6.561,10.039,1.796,C
184,467934,Female,No,40.0,Yes,Artist,1.0,Low,1.0,6.0,3.9019999999999997,5.7589999999999995,4.202,1.685,A
185,460054,Male,Yes,38.0,Yes,Artist,2.638210266264068,Low,2.0,6.0,13.02,4.457,9.251,9.331,C
186,459576,Female,Yes,85.0,No,Lawyer,2.638210266264068,Low,3.0,5.0,4.034,5.737,1.083,1.831,A
187,467910,Female,No,21.0,No,Doctor,1.0,Low,3.0,7.0,6.664,2.908,2.92,1.604,A
188,467335,Female,Yes,41.0,No,Engineer,4.0,Average,2.0,6.0,6.95,5.013,8.405,7.121,D
189,460263,Female,Yes,40.0,Yes,Artist,0.0,Low,2.0,6.0,6.63,-0.5670000000000001,5.386,2.491,B
190,459340,Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,6.0,-0.19899999999999998,6.648,7.126,5.48,B
191,465622,Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,6.0,5.9479999999999995,8.185,3.2880000000000003,5.728,C
192,459395,Male,Yes,42.0,No,Executive,8.0,Low,2.0,6.0,13.265,6.222,11.054,6.55,D
193,467539,Male,Yes,48.0,Yes,Artist,2.638210266264068,Average,4.0,7.0,13.657,14.7,14.834000000000001,15.332,C
194,466574,Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,6.0,18.024,10.681,8.861,14.029000000000002,C
195,466544,Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,6.0,9.543,4.525,0.987,5.553,A
196,463610,Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,6.0,4.914,6.985,0.866,1.633,A
197,465539,Female,Yes,49.0,Yes,Artist,1.0,High,5.0,6.0,5.653,5.882999999999999,4.2589999999999995,5.4079999999999995,B
198,459823,Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,6.0,5.957999999999999,7.447,3.825,1.662,A
199,467614,Male,Yes,35.0,No,Artist,4.0,Average,2.0,6.0,-1.091,1.6840000000000002,9.272,5.11,B
200,459073,Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,6.0,12.923,2.764,1.646,7.312,C
201,466065,Male,Yes,19.0,No,Healthcare,9.0,Low,3.0,3.0,9.273,5.401,14.187000000000001,5.244,D
202,464863,Female,Yes,25.0,No,Engineer,6.0,Average,8.0,4.0,2.707,8.068999999999999,12.739,-0.691,D
203,460022,Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,6.0,1.7990000000000002,5.52843433208488,5.898,2.227,A
204,459929,Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,6.0,10.427999999999999,2.456,1.9880000000000002,3.363,A
205,466613,Male,No,23.0,No,Healthcare,8.0,Low,3.0,6.0,10.02,-0.213,12.015999999999998,-2.093,D
206,461149,Female,No,23.0,No,Healthcare,0.0,Low,3.0,3.0,11.392999999999999,3.074,15.741,5.021,D
207,466068,Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,6.0,15.654000000000002,8.033999999999999,10.812999999999999,8.833,C
208,461513,Male,No,33.0,Yes,Doctor,0.0,Low,2.0,6.0,7.621,3.13,3.466,6.069,B
209,464761,Female,Yes,50.0,No,Engineer,2.638210266264068,Average,4.0,2.0,5.459,8.344,3.469,1.926,B
210,466236,Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,4.0,3.158,2.597,1.67,-1.217,B
211,459664,Male,No,37.0,Yes,Artist,2.0,Low,1.0,6.0,-2.562,10.380999999999998,4.298,-1.297,B
212,461967,Female,No,20.0,No,Marketing,3.0,Low,4.0,7.0,9.832,11.535,11.327,9.258,C
213,460516,Female,Yes,85.0,No,Lawyer,0.0,High,1.0,3.0,10.764000000000001,14.564,16.572,8.975,C
214,461710,Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,6.0,4.92,12.798,6.978,16.351,C
215,462742,Male,No,18.0,No,Healthcare,0.0,Low,3.0,3.0,6.626,3.627,10.3,1.807,D
216,459528,Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,6.0,13.526,4.002,5.814,4.236000000000001,C
217,462691,Male,Yes,25.0,No,Doctor,2.638210266264068,Average,2.0,4.0,0.5539999999999999,-1.3419999999999999,0.612,5.0,B
218,462934,Male,Yes,56.0,No,Executive,2.638210266264068,High,2.0,6.0,5.851,4.506,-0.386,5.0,A
219,465837,Male,No,62.0,Yes,Artist,0.0,Low,1.0,6.0,6.044,7.765,4.4030000000000005,2.699,A
220,464613,Female,No,35.0,No,Artist,0.0,Low,3.0,6.0,3.911,2.479,5.622999999999999,7.398,B
221,467515,Male,Yes,28.0,Yes,Engineer,0.0,Average,2.0,6.0,6.233,1.694,1.626,-0.049,A
222,463429,Female,No,28.0,Yes,Artist,7.0,Low,3.0,6.0,4.802,3.72,4.99,6.724,A
223,464024,Male,No,20.0,No,Healthcare,0.0,Low,5.0,7.0,5.257999999999999,5.942,4.099,2.8810000000000002,D
224,460691,Female,No,27.0,No,Homemaker,8.0,Low,1.0,3.0,11.249,5.277,3.592,5.065,D
